"Authors","Year","Title","Journal","Doi","URL","Human","No.access","Lat_Deg","Lon_Deg","Location","country"
"Gervazio, W; Yamashita, OM; Felito, RA; Eisenlohr, PV",2019,"Soil quality and its relationship with weeds in urban homegardens of Alta Floresta, Southern Amazonia","AGROFORESTRY SYSTEMS","10.1007/s10457-018-0230-x","http://doi.org/10.1007/s10457-018-0230-x","JP","",-9.86666666666667,-56.0833333333333,"","Brazil"
"Ma, MJ; Baskin, CC; Li, WJ; Zhao, YP; Zhao, Y; Zhao, L; Chen, N; Du, GZ",2019,"Seed banks trigger ecological resilience in subalpine meadows abandoned after arable farming on the Tibetan Plateau","ECOLOGICAL APPLICATIONS","10.1002/eap.1959","http://doi.org/10.1002/eap.1959","JP","",34.9166666666667,102.883333333333,"","China"
"Cavallero, L; Ledesma, M; Lopez, DR; Carranza, CA",2019,"Retention and redistribution of biological legacies generate resource sinks in silvopastoral systems of Arid Chaco forests","ECOLOGICAL PROCESSES","10.1186/s13717-019-0180-x","http://doi.org/10.1186/s13717-019-0180-x","JP","",-31.6666666666667,-65.3166666666667,"","Argentina"
"Greulich, S; Chevalier, R; Villar, M",2019,"Soil seed banks in the floodplain of a large river: A test of hypotheses on seed bank composition in relation to flooding and established vegetation","JOURNAL OF VEGETATION SCIENCE","10.1111/jvs.12762","http://doi.org/10.1111/jvs.12762","JP","",47.85,1.76666666666667,"Loire valley, Orleans, France","France"
"Steggles, EK; Facelli, JM; Ainsley, PJ; Pound, LM",2019,"Biological soil crust and vascular plant interactions in Western Myall (Acacia papyrocarpa) open woodland in South Australia","JOURNAL OF VEGETATION SCIENCE","10.1111/jvs.12764","http://doi.org/10.1111/jvs.12764","JP","",-30.8333333333333,132.2,"Yellabinna Regional Reserve, Australia","Australia"
"Haussmann, NS; Delport, C; Kakembo, V; Mashiane, KK; le Roux, PC",2019,"Restoration potential of invaded abandoned agricultural fields: what does the seed bank tell us?","RESTORATION ECOLOGY","10.1111/rec.12923","http://doi.org/10.1111/rec.12923","JP","",-33.4,27.2666666666667,"Ngqushwa Municipality, South Africa","South Africa"
"Gomes, FM; de Oliveira, CC; Miranda, RD; da Costa, RC; Loiola, MIB",2019,"Relationships between soil seed bank composition and standing vegetation along chronosequences in a tropical dry forest in north-eastern Brazil","JOURNAL OF TROPICAL ECOLOGY","10.1017/S0266467419000130","http://doi.org/10.1017/S0266467419000130","JP","",-3.78333333333333,-39.2666666666667,"north-eastern Brazil","Brazil"
"Mashavakure, N; Mashingaidze, AB; Musundire, R; Gandiwa, E; Thierfelder, C; Muposhi, VK; Svotwa, E",2019,"Influence of tillage, fertiliser regime and weeding frequency on germinable weed seed bank in a subhumid environment in Zimbabwe","SOUTH AFRICAN JOURNAL OF PLANT AND SOIL","10.1080/02571862.2019.1570567","http://doi.org/10.1080/02571862.2019.1570567","JP","",-17.35,30.2,"Chinhoyi University, Zimbabwe","Zimbabwe"
"Gorzen, E; Borisova, K; Fenesi, A; Ruprecht, E; Donath, TW",2019,"Effects of woody species encroachment and fire on vegetation and the soil seed bank in dry grasslands of Transylvania","APPLIED VEGETATION SCIENCE","10.1111/avsc.12435","http://doi.org/10.1111/avsc.12435","JP","",46.4666666666667,23.25,"Transsylvania, Romania","Romania"
"Polo-Avila, A; Infante-Izquierdo, MD; Soto, JM; Hermoso-Lopez, V; Nieva, FJJ; Castillo, JM; Munoz-Rodriguez, AF",2019,"Contrasting propagule dispersal and halophyte seed banks along the intertidal gradient","MARINE ECOLOGY PROGRESS SERIES","10.3354/meps12943","http://doi.org/10.3354/meps12943","JP","",37.0833333333333,-7.66666666666667,"Tavira island, Portugal","Portugal"
"Wei, H; Bai, WJ; Zhang, JE; Chen, R; Xiang, HM; Quan, GM",2019,"Integrated Rice-Duck Farming Decreases Soil Seed Bank and Weed Density in a Paddy Field","AGRONOMY-BASEL","10.3390/agronomy9050259","http://doi.org/10.3390/agronomy9050259","JP","",23.2333333333333,113.633333333333,"South China","China"
"Halatkiewicz, T; Jankowska-Blaszczuk, M; Swiercz, A; Adamczyk, K",2019,"Soil seed bank and herb layer diversity within secondary oak forest in the Kozubowski Landscape Park","SYLWAN","10.26202/sylwan.2018136","http://doi.org/10.26202/sylwan.2018136","JP","",50.4333333333333,20.4666666666667,"Kozubowski Landscape park, Poland","Poland"
"Zhang, CH; Willis, CG; Ma, Z; Ma, MJ; Csontos, P; Baskin, CC; Baskin, JM; Li, JY; Zhou, HK; Zhao, XQ; Yao, BQ; Du, GZ",2019,"Direct and indirect effects of long-term fertilization on the stability of the persistent seed bank","PLANT AND SOIL","10.1007/s11104-019-04024-x","http://doi.org/10.1007/s11104-019-04024-x","JP","",35.9666666666667,101.883333333333,"Eastern Tibetan plateau, China","China"
"Funk, FA; Loydi, A; Peter, G; Distel, RA",2019,"Effect of Grazing and Drought on Seed Bank in Semiarid Patchy Rangelands of Northern Patagonia, Argentina","INTERNATIONAL JOURNAL OF PLANT SCIENCES","10.1086/702661","http://doi.org/10.1086/702661","JP","",-40.6833333333333,-64.1,"northeastern Patagonia, Argentina","Argentina"
